Symbol	Name	Latest	Open	Session_F	Previous	Prev Open	Session_F_PRV	Change	14D ATR	%Change	10D RelVol	HiLo%	9D ATRP	SUI
CLM26	Crude Oil WTI	105.42	102.06	0.542	101.17	101.02	0.0242	4.25	6.2	+4.20%	0.24	+4.45%	5.59%	0.796
ESM26	S&P 500 E-Mini	7432.25	7522.25	-1.015	7525.5	7477.5	0.5413	-93.25	88.68	-1.24%	1.24	+1.61%	1.15%	1.400
NQM26	Nasdaq 100 E-Mini	29231.75	29690	-0.934	29687.75	29537	0.3072	-456	490.67	-1.54%	1.22	+2.21%	1.70%	1.300
														
$OVX	Crude Oil VIX	72.35	72.82	-0.098	68.92	70.63	-0.3555	3.43	4.81	+4.98%	0	+2.36%	5.83%	0.405
$VIX	CBOE Volatility Index	18.43	18.07	0.220	17.26	17.86	-0.3659	1.17	1.64	+6.78%	0	+8.26%	7.46%	1.107
$VXN	Nasdaq 100 VIX	25.33	25.85	-0.308	24.08	24.66	-0.3432	1.25	1.69	+5.19%	0	+4.44%	5.94%	0.747
														
_S_SP_SQU6_SQU7	3-Month SOFR Futures Standard Spread	25.5	16.5	N/A	12	0	N/A	13.5	0	+112.50%	N/A	N/A	N/A	N/A
ZBM26	30-Year T-Bond	110.625	112.15625	-1.581	112.46875	112.1875	0.2903	-1.84375	0.96875	-1.64%	1.23	+1.47%	0.88%	1.670
LQD	Invst Grade Corp Bond Ishares Iboxx $ ETF	107.86	107.87	-0.018	108.55	108.89	-0.6071	-0.69	0.56	-0.64%	1.9	+0.24%	0.51%	0.471
HYG	High Yield Corp Bond Ishares Iboxx $ ETF	79.46	79.64	-0.600	79.85	79.97	-0.4000	-0.39	0.3	-0.49%	1.51	+0.29%	0.36%	0.806
BUUK26	30-Year UMBS TBA Futures - 5.5% Coupon	100.671875	100.671875	N/A	100.3125	0	N/A	0.359375	0	+0.36%	N/A	N/A	N/A	
$DXY	U.S. Dollar Index	99.28	98.95	0.635	98.95	98.46	0.9423	0.33	0.52	+0.33%	0	+0.40%	0.50%	0.800
